Invoice/Item Number,Date,Store Number,Vendor Number,Zip Code,Item Number,Bottles Sold,State Bottle Retail,Volume Sold (Liters)
S05799100037,1/3/2012,3628,260,52402,43410,12,$11.23 ,9
S08994800004,1/3/2012,2514,380,50129,37348,6,$10.97 ,10.5
S07930600008,1/3/2012,4628,421,50662,64862,12,$7.99 ,4.5
S24846400029,1/3/2012,3869,65,52241,30236,3,$7.08 ,2.25
S10076700002,1/3/2012,3576,305,51346,73052,12,$11.12 ,4.5
S22471700136,1/3/2012,2603,65,52722,40335,2,$15.74 ,1.5
S06856800053,1/3/2012,2507,240,52601,45886,2,$12.62 ,1.5
S09573500006,1/3/2012,2661,297,51201,35916,12,$5.06 ,9
S13484800005,1/3/2012,4379,421,50266,36978,6,$10.38 ,10.5
S16868300065,1/3/2012,4295,370,50317,32231,1,$8.81 ,0.5
S12587200012,1/3/2012,4312,85,51501,22216,6,$30.75 ,4.5
S03606700011,1/3/2012,2629,205,51503,89533,24,$16.49 ,18
S22555100126,1/3/2012,2604,259,51031,65191,2,$18.66 ,1.2
S23379200286,1/3/2012,2587,65,50131,89617,1,$15.00 ,0.75
S05518300108,1/3/2012,2621,421,51105,64862,1,$7.99 ,0.38
S14986800024,1/3/2012,2633,389,50320,65896,1,$14.99 ,0.75
S07833000099,1/3/2012,4614,421,50322,16518,1,$16.87 ,1.75
S20139100020,1/3/2012,2508,380,52405,41701,12,$9.74 ,9
S05488900011,1/3/2012,2510,380,52403,37356,24,$5.23 ,18
S11244400099,1/3/2012,2594,65,51106,73516,1,$9.45 ,0.75
S28189500008,1/3/2012,3881,260,50158,10808,12,$27.75 ,12
S03502700048,1/3/2012,4616,370,51301,34007,1,$22.34 ,1
S24000800029,1/3/2012,4599,420,50317,48099,8,$8.48 ,1.6
S13407600130,1/3/2012,3869,420,52241,48106,2,$26.99 ,1.5
S28363500137,1/3/2012,2635,65,52807,24454,10,$4.73 ,3.75
S16585300002,1/3/2012,2190,205,50314,40289,12,$10.35 ,9
S15442700007,1/3/2012,4638,260,52804,37994,24,$7.13 ,9
S20742000001,1/3/2012,2205,65,51632,10626,12,$11.82 ,9
S29290300003,1/3/2012,4132,305,52730,80485,6,$15.00 ,4.5
