Store Number,Store Name,County Number
3628,Wal-Mart 1528 / Cedar Rapids,57
2514,Hy-Vee Drugstore / Marion,57
4628,Oelwein Bottle and Can Inc.,33
3869,Bootleggin' Barzini's Fin,52
3576,Liquor Store / Hartley,71
2603,Hy-Vee Wine and Spirits / Bettendorf,82
2507,Hy-Vee Food Store #1 / Burlington,29
2661,Hy-Vee Food Store / Sheldon,71
4379,Kum & Go #2091 / Ashworth / WDM,77
4295,Nat Food Mart #1 / Hubbell,77
4312,I-80 Liquor / Council Bluffs,78
2629,Hy-Vee Food Store #2 / Council Bluff,78
2604,Hy-Vee Wine and Spirits / Lemars,75
2587,Hy-Vee Food Store / Johnston,77
2621,Hy-Vee Food Store #3 / Sioux City,97
2633,Hy-Vee #3 / BDI / Des Moines,77
4614,Urban Liquor,77
2508,Hy-Vee Food Store #1 / Cedar Rapids,57
2510,Hy-Vee Drugstore #3 / Cedar Rapids,57
2594,Hy-Vee Food Store / Sioux City,97
3881,7 Rayos Liquor Store,64
4616,C's Spencer Liquor,21
4599,Quik Trip #500 / Hubbell DM,77
2635,Hy-Vee #4 / Davenport,82
2190,"Central City Liquor, Inc.",77
4638,GD Xpress / Davenport,82
2205,Ding's Honk And Holler,73
4132,Camanche Food Pride,23
2590,Hy-Vee Food Store #5 / Cedar Rapids,57
3529,A To Z Liquor and Smoke Shop,18
3728,Brewski's Beverage,78
3838,Schnucks / Bettendorf,48
2560,Hy-Vee Food Store / Marion,57
2614,Hy-Vee #3 Food and Drugstore,82
2605,Hy-Vee Drugstore #5 / Cedar Rapids,57
3723,J D Spirits Liquor,67
5105,Johncy's Liquor Store,52
3054,Mcnally's Super Valu,79
4617,Lickety Liquor,77
2643,Hy-Vee Wine and Spirits / Waterloo,7
2532,Hy-Vee Food Store #2 / Des Moines,77
2963,Dahl's / Clive,77
2501,Hy-vee  #2 / Ames,85
2662,Hy-Vee Wine & Spirits / Muscatine,70
2465,Sid's Beverage Shop,31
4167,"Iowa Street Market, Inc.",31
4193,Hartley Wine And Spirits,71
3762,Wine and Spirits Gallery,77
4619,Smokin' Joe's #3 Tobacco and Liquor,56
4604,Pit Stop Liquors / Newton,50
3562,Wal-Mart 0797 / W Burlington,29
2650,Hy-Vee Wine and Spirits / Harlan,83
2637,Hy-Vee #5 / Davenport,82
4874,Z's Quickbreak,44
4348,Jeff's Market / Wilton,70
2613,Hy-Vee Food Store #1 / Council Bluff,78
3842,Bancroft Liquor Store,55
4571,Casey's General Store #2357 / Alliso,12
5070,Jeff's Market / Wilton,70
4935,Ali's Liquor,7
3563,Wal-Mart 0559 / Muscatine,70
2505,Hy-Vee Wine and Spirits / Boone,8
2512,Hy-Vee Wine and Spirits / Iowa City,52
3964,Sioux Food Center of Sioux Rapids,11
4988,Happy's Wine & Spirits,7
4129,Cyclone Liquors,85
4818,Decorah Mart,96
4011,Jim and Charlies Affiliated,68
5180,Oelwein Mart,33
4877,World Liquor & Tobacco,77
2651,Hy-Vee / Waverly,9
3065,Montezuma Super Valu,79
3663,Wal-Mart 1496 / Waterloo,7
2840,CVS Pharmacy #8633 / Bettendorf,82
2521,Hy-Vee Food and Drug / Grand / WDM,77
